#         t          m          x          y          z         vx         vy         vz
    400.000      0.008     -3.788     -6.500      5.049   -134.965     80.523    -18.814
    400.000      0.008    -11.074    -16.392      7.831   -198.220      8.762    -99.611
    400.000      0.008      0.548      1.407     -0.504    -45.231    151.307   -111.725
    400.000      0.008     -1.227     -0.507      0.486   -275.161    132.180    -16.886
    400.000      0.008     -4.871     18.728     -4.112    163.062    -69.905     43.081
    400.000      0.008    -23.549    -28.309     -4.908    -92.813     35.066   -115.154
    400.000      0.008     -0.995      0.301     -0.480   -246.933    -19.409    -60.095
    400.000      0.008      1.532    -12.154      4.514   -185.647    -37.591    -18.251
    400.000      0.008     -1.672      7.427     -3.644    160.542    123.176    122.026
    400.000      0.008    -25.843    -14.823    -10.288    -26.426     92.251    -45.609
    400.000      0.008      8.218     -0.201      0.039   -182.452   -112.997     42.773
    400.000      0.008     18.256     11.413      0.018     91.701    -29.161     20.629
    400.000      0.008     -1.577      7.019     -2.096    213.890     66.481     32.323
    400.000      0.008      4.266     18.916     -7.515    199.469     99.464     88.102
    400.000      0.008      2.293     -0.219     -1.497   -118.820     31.724     34.328
    400.000      0.008     -2.171     -0.851      1.552   -199.858    140.108    -67.142
    400.000      0.008      0.048     -2.772     -1.242    -91.620    -24.109   -118.742
    400.000      0.008      2.403      2.251      0.828    -95.623    -25.992     47.133
    400.000      0.008     -2.716     -0.357     -0.433    103.388    306.075    -91.928
    400.000      0.008      3.474      8.205     -2.787    221.709    -69.522     79.691
    400.000      0.008      1.076      9.530     -2.668    216.952     81.626   -116.765
    400.000      0.008      1.997      7.981     -4.382    135.557    -10.084    -35.509
    400.000      0.008     10.835     -0.410      3.886    -57.333   -188.358     93.545
    400.000      0.008     -7.537    -14.504      1.674   -157.337     37.576     19.350
    400.000      0.008      6.439      0.591      3.896   -104.129   -236.666     58.852
    400.000      0.008      0.545     10.410     -0.435    104.519    -41.582     14.741
    400.000      0.008     14.429     25.141     -1.263    167.008    -14.826     52.406
    400.000      0.008     -0.174      0.393      0.649    122.666    240.095     15.300
    400.000      0.008     -0.893     -1.314      0.271   -244.301    -48.135   -149.754
    400.000      0.008      4.739     -1.774      2.079    -72.516   -191.258     31.425
    400.000      0.008      2.841      3.738     -0.586    267.705    -10.408     62.716
    400.000      0.008     -2.430     -0.347      0.289    189.891    112.483     71.315
    400.000      0.008     -3.642     -0.490      1.655     51.883    174.711    -43.525
    400.000      0.008     13.753      1.767      0.747     71.372   -189.397     86.939
    400.000      0.008      0.619      1.195      0.408    -60.916    100.393    152.632
    400.000      0.008     -0.402      1.267     -0.396    165.277      4.699     55.960
    400.000      0.008     -0.238     -0.328      0.284    -92.267     -7.264     -7.068
    400.000      0.008     -7.508      8.764     -1.653    189.105     37.616     -0.647
    400.000      0.008      0.092      0.080      0.222     26.566    109.903    -12.259
    400.000      0.008      7.561      0.610     -0.260    -18.047   -169.089      4.178
    400.000      0.008     -4.867     11.563     -4.223    123.406     36.799     14.989
    400.000      0.008      0.646      0.721      0.619   -338.178    -34.427    338.948
    400.000      0.008    -16.292     -7.874      0.947     42.835    157.356      4.584
    400.000      0.008      3.059      5.636     -1.154    180.345    -93.943    248.982
    400.000      0.008      2.790      1.516      0.457    -89.598   -225.653    -85.960
    400.000      0.008      2.386      2.883     -1.476    168.474   -170.852    -44.675
    400.000      0.008      3.356     13.067     -1.297    217.147    107.382    -29.767
    400.000      0.008      1.952      2.170     -0.184    164.555    121.587    -81.822
    400.000      0.008    -10.186     16.159    -10.674    161.583     63.146     86.882
    400.000      0.008      0.556      0.768      0.176      9.040    237.240     55.858
    400.000      0.008     -6.008      7.784     -2.391    187.252     97.364    -20.562
    400.000      0.008      0.887      1.066      0.423    161.758   -107.455   -217.891
    400.000      0.008     -3.313     -2.594      2.311   -103.682    158.754      3.559
    400.000      0.008     -6.940     -7.522     -0.014    -37.051    139.133    -43.426
    400.000      0.008     -3.336      2.301     -0.239    171.981    264.461   -130.189
    400.000      0.008    -10.153    -11.665      2.159   -166.822      1.081    -68.458
    400.000      0.008     -0.551      1.035      0.072    -47.549     94.830   -172.642
    400.000      0.008     13.894     -6.724      7.935   -142.099    -50.185     32.389
    400.000      0.008     -4.439      6.519     -0.551      3.279    193.304     72.115
    400.000      0.008      7.454    -32.611     10.003   -133.351   -132.022    -30.262
    400.000      0.008      0.386      0.657      0.237    -45.196   -308.197    -35.479
    400.000      0.008      7.582      8.440     -2.994    102.164    -67.514     84.778
    400.000      0.008      7.585      5.125     -0.078     38.618   -196.058     96.078
    400.000      0.008     -6.726      4.345     -3.410     23.597    119.970    -26.700
    400.000      0.008      0.392      0.458     -0.534    233.263    100.240     25.880
    400.000      0.008      5.664      2.096      1.858    -55.450   -146.664     32.393
    400.000      0.008      5.006      3.378     -1.150    158.840   -248.306     90.234
    400.000      0.008    -16.871     -4.001     -0.540    -19.864    173.146      5.834
    400.000      0.008     19.453     32.039      8.496     57.617    -61.644     90.307
    400.000      0.008     -7.317      8.835     -4.511    152.850    157.190    -79.250
    400.000      0.008      1.419      0.943     -0.086    362.797     11.170      6.332
    400.000      0.008     -1.266      5.388     -1.763    264.834    112.663    -12.623
    400.000      0.008      2.626      1.298      0.911    133.091    -96.056    184.527
    400.000      0.008      2.176     13.689     -4.374    180.027      5.861      7.634
    400.000      0.008     -7.495     -5.026     -6.238     11.081    219.236   -300.426
    400.000      0.008      0.262      0.458      0.084    102.356    263.543     56.569
    400.000      0.008      3.085      1.676      0.428     76.510     76.636    -34.212
    400.000      0.008     -3.469     13.380     -8.531    150.206     33.561     84.675
    400.000      0.008      0.447      1.033      0.237     22.250    191.395     21.759
